2485,The Work and the Glory II: American Zion,2005,USA,100,English,PG-13,2024854,6500000
2486,The World's Fastest Indian,2005,New Zealand,127,English,PG-13,5128124,25000000
2487,Three Burials,2005,France,107,English,R,5023275,15000000
2488,Thumbsucker,2005,USA,96,English,R,1325073,4000000
2489,Transamerica,2005,USA,103,English,R,9013113,1000000
2490,Transporter 2,2005,France,87,English,PG-13,43095600,32000000
2491,Tristram Shandy: A Cock and Bull Story,2005,UK,94,English,R,1247453,2800000
2492,Trust the Man,2005,USA,103,English,R,1530535,9000000
2493,Tsotsi,2005,UK,94,Zulu,R,2912363,3000000
2494,Underclassman,2005,USA,95,English,PG-13,5654777,25000000
2495,Undiscovered,2005,Germany,97,English,PG-13,1046166,9000000
2496,Unleashed,2005,France,103,English,R,24520892,45000000
2497,V for Vendetta,2005,USA,132,English,R,70496802,54000000
2498,Valiant,2005,UK,76,English,G,19447478,35000000
2499,Wah-Wah,2005,UK,97,English,R,233103,7000000
2500,Waiting...,2005,USA,94,English,R,16101109,3000000
2501,Wal-Mart: The High Cost of Low Price,2005,USA,20,English,Not Rated,,1500000
2502,Walk the Line,2005,USA,153,English,PG-13,119518352,28000000
2503,War of the Worlds,2005,USA,116,English,PG-13,234277056,132000000
2504,Water,2005,Canada,117,Hindi,PG-13,3222857,
2505,Where the Truth Lies,2005,Canada,107,English,R,871527,25000000
2506,White Noise,2005,UK,101,English,PG-13,55865715,10000000
2507,Winter Passing,2005,USA,98,English,R,101228,3500000
2508,xXx: State of the Union,2005,USA,101,English,PG-13,26082914,87000000
2509,Zathura: A Space Adventure,2005,USA,101,English,PG,28045540,65000000
2510,10th & Wolf,2006,USA,107,English,R,53481,8000000
2511,16 Blocks,2006,Germany,102,English,PG-13,36883539,52000000
2512,300,2006,USA,117,English,R,210592590,65000000
2513,A Good Year,2006,USA,117,English,PG-13,7458269,35000000
2514,A Prairie Home Companion,2006,USA,105,English,PG-13,20338609,10000000
2515,A Scanner Darkly,2006,USA,100,English,R,5480996,8700000
2516,Akeelah and the Bee,2006,USA,112,English,PG,18811135,
2517,Alex Rider: Operation Stormbreaker,2006,Germany,93,English,PG,652526,40000000
2518,All the Boys Love Mandy Lane,2006,USA,90,English,R,,750000
2519,All the King's Men,2006,Germany,128,English,PG-13,7221458,55000000
2520,Alone with Her,2006,USA,78,English,Not Rated,10018,1000000
2521,American Dreamz,2006,USA,107,English,PG-13,7156725,19000000
2522,An Inconvenient Truth,2006,USA,96,English,PG,23808111,
2523,Apocalypto,2006,USA,139,Maya,R,50859889,40000000
2524,Aquamarine,2006,USA,104,English,PG,18595716,12000000
2525,Arthur and the Invisibles,2006,France,94,English,PG,15131330,86000000
2526,ATL,2006,USA,105,English,PG-13,21160089,
2527,Babel,2006,France,143,English,R,34300771,25000000
2528,Bandidas,2006,France,93,English,PG-13,,32000000
2529,Barnyard,2006,Germany,90,English,PG,72601713,51000000
2530,Basic Instinct 2,2006,UK,116,English,R,5851188,70000000
2531,Beer League,2006,USA,86,English,R,475000,2800000
2532,Beerfest,2006,USA,110,English,R,19179969,17500000
2533,Bella,2006,USA,91,English,PG-13,8108247,3300000
2534,Big Momma's House 2,2006,USA,99,English,PG-13,70163652,40000000
2535,Black Book,2006,Netherlands,145,Dutch,R,4398392,21000000
2536,Black Christmas,2006,USA,94,English,R,16235293,9000000
2537,Black Snake Moan,2006,USA,116,English,R,9396487,15000000
2538,Blood Diamond,2006,Germany,143,English,R,57366262,100000000
2539,Bobby,2006,USA,112,English,R,11204499,14000000
2540,Bon Cop Bad Cop,2006,Canada,116,English,R,,8000000
2541,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,USA,82,English,R,128505958,18000000
2542,Captain Alatriste: The Spanish Musketeer,2006,Spain,145,Spanish,,,24000000
2543,Cars,2006,USA,117,English,G,244052771,120000000
2544,Casino Royale,2006,UK,144,English,PG-13,167007184,150000000
2545,Casino Royale,2006,UK,144,English,PG-13,167007184,150000000
2546,Catch a Fire,2006,France,98,English,PG-13,4291965,14000000
2547,Charlotte's Web,2006,USA,97,English,G,82506325,
2548,Children of Men,2006,USA,109,English,R,35286428,76000000
2549,Clerks II,2006,USA,97,English,R,24138847,5000000
2550,Click,2006,USA,107,English,PG-13,137340146,70000000
2551,Come Early Morning,2006,USA,97,English,R,117560,6000000
2552,Copying Beethoven,2006,USA,104,English,PG-13,352786,11000000
2553,Crank,2006,USA,93,English,R,27829874,12000000
2554,Crazy Stone,2006,China,98,Mandarin,,,3000000
2555,Crossover,2006,USA,95,English,PG-13,7009668,5600000
2556,Curious George,2006,USA,78,English,G,58336565,50000000
2557,Curse of the Golden Flower,2006,China,114,Mandarin,R,6565495,45000000
2558,Date Movie,2006,USA,85,English,PG-13,48546578,20000000
2559,Deck the Halls,2006,USA,93,English,PG,35092918,
2560,DOA: Dead or Alive,2006,USA,87,English,PG-13,480314,21000000
2561,Doogal,2006,USA,77,English,G,7382993,20000000
2562,Dreamgirls,2006,USA,130,English,PG-13,103338338,70000000
2563,Driving Lessons,2006,UK,98,English,PG-13,238774,
2564,Eight Below,2006,USA,120,English,PG,81593527,40000000
2565,Employee of the Month,2006,USA,103,English,PG-13,28435406,12000000
2566,Eragon,2006,USA,104,English,PG,75030163,100000000
2567,Exiled,2006,Hong Kong,110,Cantonese,R,49413,35000000
2568,Eye of the Dolphin,2006,USA,100,English,PG-13,71904,2500000
2569,Facing the Giants,2006,USA,111,English,PG,10174663,100000
2570,Factory Girl,2006,USA,99,English,R,1654367,7000000
2571,Failure to Launch,2006,USA,95,English,PG-13,88658172,50000000
2572,Faith Like Potatoes,2006,South Africa,116,Zulu,PG,,10000000
2573,Farce of the Penguins,2006,USA,80,English,R,,
2574,Fido,2006,Canada,93,English,R,298110,8000000
2575,Final Destination 3,2006,Germany,86,English,R,54098051,25000000
2576,Find Me Guilty,2006,Germany,125,English,R,1172769,13000000
2577,Firewall,2006,USA,105,English,PG-13,48745150,50000000
2578,Flags of Our Fathers,2006,USA,135,English,R,33574332,90000000
2579,Flicka,2006,USA,95,English,PG,20998709,15000000
2580,Flushed Away,2006,UK,85,English,PG,64459316,149000000
2581,Flyboys,2006,UK,140,English,PG-13,13082288,60000000
2582,For Your Consideration,2006,USA,86,English,PG-13,5542025,12000000
2583,Friends with Money,2006,USA,88,English,R,13367101,6500000
2584,Fur: An Imaginary Portrait of Diane Arbus,2006,USA,122,English,R,220914,16800000
2585,Garfield 2,2006,UK,86,English,PG,28424210,
2586,Glory Road,2006,USA,118,English,PG,42643187,
2587,Grandma's Boy,2006,USA,90,English,R,6088249,
2588,Gridiron Gang,2006,USA,125,English,PG-13,38432823,30000000
2589,Half Nelson,2006,USA,106,English,R,2694973,700000
2590,Happily N'Ever After,2006,USA,75,English,PG,15519841,47000000
2591,Happy Feet,2006,USA,108,English,PG,197992827,100000000
2592,Hatchet,2006,USA,93,English,R,,1500000
2593,Hoot,2006,USA,91,English,PG,8080116,15000000
2594,I Served the King of England,2006,Czech Republic,113,Czech,R,617228,84450000
2595,I Want Someone to Eat Cheese With,2006,USA,80,English,R,194568,1500000
2596,Ice Age: The Meltdown,2006,USA,115,English,PG,195329763,80000000
2597,Idiocracy,2006,USA,84,English,R,438653,
2598,Idlewild,2006,USA,121,English,R,12549485,15000000
2599,In Her Line of Fire,2006,Germany,88,English,R,721,1000000
2600,Infamous,2006,USA,118,English,R,1150403,13000000
2601,Inside Man,2006,USA,129,English,R,88504640,45000000
2602,Ira & Abby,2006,USA,101,English,R,220234,3500000
2603,Iraq for Sale: The War Profiteers,2006,USA,75,English,,,750000
2604,Jackass Number Two,2006,USA,92,English,R,72755517,
